"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"RTNPOWER",12.29,2025-08-29 00:00:00,-0.65,12.77,2025-07-31 00:00:00,-4.39,9.96,2025-04-30 00:00:00,22.59,14.39,2024-10-31 00:00:00,-15.15,12.21,
"RUBFILA",78.02,2025-08-29 00:00:00,5.4,81.21,2025-07-31 00:00:00,1.26,66.64,2025-04-30 00:00:00,23.39,79.71,2024-10-31 00:00:00,3.16,82.23,
"RUBYMILLS",220.25,2025-08-29 00:00:00,1.47,253.35,2025-07-31 00:00:00,-11.79,192.88,2025-04-30 00:00:00,15.87,238.1,2024-10-31 00:00:00,-6.14,223.49,
"RUCHIRA",144.69,2025-08-29 00:00:00,1.16,137.54,2025-07-31 00:00:00,6.42,116.92,2025-04-30 00:00:00,25.19,125.18,2024-10-31 00:00:00,16.93,146.37,
"RUPA",189.04,2025-08-29 00:00:00,0.51,212.6,2025-07-31 00:00:00,-10.63,196.09,2025-04-30 00:00:00,-3.1,261,2024-10-31 00:00:00,-27.2,190.01,
"RUSHIL",27.27,2025-08-29 00:00:00,5.54,24.63,2025-07-31 00:00:00,16.85,22.84,2025-04-30 00:00:00,26.01,36.82,2024-10-31 00:00:00,-21.84,28.78,
"RUSTOMJEE",631.65,2025-08-29 00:00:00,-1.05,621.45,2025-07-31 00:00:00,0.57,525.4,2025-04-30 00:00:00,18.96,720.45,2024-10-31 00:00:00,-13.25,625,
"RVHL",46.8,2025-08-29 00:00:00,-2.63,42.54,2025-07-31 00:00:00,7.12,46.1,2025-04-30 00:00:00,-1.15,63.86,2024-08-30 00:00:00,-28.64,45.57,
"RVNL",302.6,2025-08-29 00:00:00,4.33,348.15,2025-07-31 00:00:00,-9.32,349.8,2025-04-30 00:00:00,-9.75,471.8,2024-10-31 00:00:00,-33.09,315.7,
"RVTH",830.6,2025-08-29 00:00:00,2.22,971.1,2025-03-20 00:00:00,-12.57,0.001,,84904900,0.001,,84904900,849.05,
"SADBHAV",14.33,2025-08-29 00:00:00,1.88,12.1,2025-07-31 00:00:00,20.66,26.89,2024-12-31 00:00:00,-45.7,0.001,,1459900,14.6,
"SAFARI",2143.1,2025-08-29 00:00:00,-1.05,2098.2,2025-07-31 00:00:00,1.07,2004.1,2025-04-30 00:00:00,5.81,2207.4,2024-10-31 00:00:00,-3.93,2120.6,
